READ SERR 1 2
@crab_ratio_SA80_d49.pco
!
1.31500006 5.00005484E-3 0.990708053 6.78854238E-4
1.32500005 4.99999523E-3 0.990791202 6.81773992E-4
1.33500004 4.99999523E-3 0.991147041 6.84778322E-4
1.34500003 4.99999523E-3 0.991483629 6.87725609E-4
1.35500002 4.99999523E-3 0.993731022 6.91290654E-4
1.36500001 4.99999523E-3 0.992481828 6.9361896E-4
1.375 4.99999523E-3 0.992382348 6.96283474E-4
1.38499999 4.99999523E-3 0.991846085 6.98746531E-4
1.39499998 4.99999523E-3 0.993554235 7.020185E-4
1.40499997 4.99999523E-3 0.994344532 7.04940001E-4
1.41499996 4.99999523E-3 0.993192971 7.07194617E-4
1.42499995 4.99999523E-3 0.99272269 7.09694927E-4
1.43499994 5.00005484E-3 0.99374491 7.12778885E-4
1.44500005 4.99999523E-3 0.995527267 7.16170704E-4
1.45500004 4.99999523E-3 0.99459213 7.18649884E-4
1.46500003 4.99999523E-3 0.995539308 7.21900782E-4
1.47500002 4.99999523E-3 0.994254231 7.24454003E-4
1.48500001 4.99999523E-3 0.997301042 7.28832616E-4
1.495 4.99999523E-3 0.995825052 7.31728564E-4
1.505 4.99999523E-3 0.996781528 7.35868758E-4
1.51499999 4.99999523E-3 0.995765507 7.39623385E-4
1.52499998 4.99999523E-3 0.995467424 7.44016259E-4
1.53499997 4.99999523E-3 0.993208289 7.47920014E-4
1.54499996 4.99999523E-3 0.994210899 7.53403583E-4
1.55499995 4.99999523E-3 0.992917597 7.58201466E-4
1.56500006 5.00005484E-3 0.992098868 7.63213495E-4
1.57500005 4.99999523E-3 0.991567135 7.6821004E-4
1.58500004 4.99999523E-3 0.990494251 7.72781437E-4
1.59500003 4.99999523E-3 0.99031198 7.77366688E-4
1.60500002 4.99999523E-3 0.991472483 7.82127841E-4
1.61500001 4.99999523E-3 0.99524188 7.87565019E-4
1.625 4.99999523E-3 0.996656001 7.91731931E-4
1.63499999 4.99999523E-3 0.99823004 7.95743486E-4
1.64499998 4.99999523E-3 0.999195397 7.9928065E-4
1.65499997 4.99999523E-3 1.00231671 8.03591101E-4
1.66499996 4.99999523E-3 1.00391245 8.07143981E-4
1.67499995 4.99999523E-3 1.00687337 8.11022532E-4
1.68499994 5.00005484E-3 1.00879025 8.14276573E-4
1.69500005 4.99999523E-3 1.00837088 8.16111628E-4
1.70500004 4.99999523E-3 1.00917912 8.17928347E-4
1.71500003 4.99999523E-3 1.00718188 8.18064844E-4
1.72500002 4.99999523E-3 1.0051173 8.17738939E-4
1.73500001 4.99999523E-3 1.00054562 8.16174434E-4
1.745 4.99999523E-3 0.996225655 8.14856903E-4
1.755 4.99999523E-3 0.993433058 8.14689847E-4
1.76499999 4.99999523E-3 0.987856269 8.14306084E-4
1.77499998 4.99999523E-3 0.988093615 8.17664433E-4
1.78499997 4.99999523E-3 0.989087939 8.22880189E-4
1.79499996 4.99999523E-3 0.986452878 8.28286749E-4
1.80499995 4.99999523E-3 0.988197863 8.37365107E-4
1.81500006 5.00005484E-3 0.989359081 8.47761286E-4
1.82500005 4.99999523E-3 0.990060866 8.59476568E-4
1.83500004 4.99999523E-3 0.989906371 8.71827651E-4
1.84500003 4.99999523E-3 0.994602919 8.8695559E-4
1.85500002 4.99999523E-3 0.994211853 8.99903302E-4
1.86500001 4.99999523E-3 0.994753897 9.12704796E-4
1.875 4.99999523E-3 0.994424224 9.24223219E-4
1.88499999 4.99999523E-3 0.995937467 9.35088086E-4
1.89499998 4.99999523E-3 0.996538699 9.44368192E-4
1.90499997 4.99999523E-3 0.996746302 9.51986876E-4
1.91499996 4.99999523E-3 0.998317778 9.59229481E-4
1.92499995 4.99999523E-3 0.998953521 9.65279352E-4
1.93499994 5.00005484E-3 1.00057876 9.7125984E-4
1.94500005 4.99999523E-3 1.00125468 9.76476877E-4
1.95500004 4.99999523E-3 1.00273228 9.81959398E-4
1.96500003 4.99999523E-3 1.00346291 9.86990752E-4
1.97500002 4.99999523E-3 1.00382304 9.92086367E-4
1.98500001 4.99999523E-3 1.00456381 9.97412251E-4
1.995 4.99999523E-3 1.00620008 1.00338529E-3
2.00500011 4.99999523E-3 1.00762594 1.0092695E-3
2.01499987 4.99999523E-3 1.00594854 1.01386674E-3
2.0250001 4.99999523E-3 1.00793278 1.02049764E-3
2.03499985 4.99999523E-3 1.009179 1.02687604E-3
2.04500008 4.99999523E-3 1.01035035 1.03351485E-3
2.05499983 4.99999523E-3 1.01066315 1.03978673E-3
2.06500006 4.99999523E-3 1.0090692 1.0451983E-3
2.07499981 4.99999523E-3 1.01191556 1.05328823E-3
2.08500004 4.99999523E-3 1.01251507 1.06062985E-3
2.09499979 4.99999523E-3 1.01122975 1.06723211E-3
2.10500002 4.99999523E-3 1.01266062 1.07582391E-3
2.11499977 4.99999523E-3 1.01361501 1.08493201E-3
2.125 5.00011444E-3 1.01401126 1.09444803E-3
2.13500023 4.99999523E-3 1.01578319 1.10596465E-3
